"p_cit","p_TL","p_TG","p_GL","p_Lind","p_res"
0.354501652876249,6.47909274671439e-32,0.354501652876249,2.85975251624785e-45,0.215394802554505," "
0.455355527674487,1.63260078126503e-45,0.455355527674487,1.91052985248821e-37,0.283951075936169," "
0.03044457238439,1.04027848840897e-58,0.03044457238439,1.28801239875098e-37,0.0202215493380252,"causal"
0.375303943211531,5.53058504459383e-84,0.375303943211531,5.52637289726336e-33,0.317021434346717," "
0.929304768098951,1.50070714368114e-95,0.929304768098951,3.97324164109108e-41,0.339090180078884," "
0.839193004109251,8.54915533698146e-119,0.216433003654044,1.78162650295919e-33,0.839193004109251," "
0.987754024728076,0,0.987754024728076,5.74986130525409e-10,0.521632254694966," "
0.549233223793221,0.398644785939679,0.549233223793221,4.34560315644888e-69,0.27510877069663," "
0.87042552123908,0.0209583500257476,0.87042552123908,3.83302999111436e-72,0.671503671698533," "
0.379140680196002,2.97465437744518e-09,0.379140680196002,3.52830069712437e-63,0.163862962991616," "
0.0611023610607405,1.66342399128242e-12,0.0611023610607405,9.09930432105195e-67,0.0273192550705576," "
0.519123707281743,1.20845173598481e-32,0.519123707281743,6.60110720195244e-61,0.276375499604889," "
0.231600384071906,1.21399867386039e-50,0.231600384071906,5.73606475848314e-52,0.106964956977597," "
0.69843142607967,1.35408824815911e-50,0.69843142607967,5.87487179611484e-51,0.620865744604499," "
0.861870282173777,2.16504681377864e-62,0.279178892339587,1.33164077814919e-60,0.861870282173777," "
0.819340072806826,3.70275236550994e-84,0.255511238055493,3.24895158453202e-46,0.819340072806826," "
0.780351160580149,4.09271238354261e-96,0.425799221006089,4.13143664413746e-49,0.780351160580149," "
0.885243769612822,1.97455980581254e-121,0.885243769612822,3.90643809413127e-41,0.423914373325321," "
0.466574389344708,0,0.466574389344708,1.34807489564552e-08,0.320584536732662," "
0.715242049520028,0.0266429129559054,0.715242049520028,1.09318252240351e-81,0.26689191796405," "
0.812369321131777,0.00558476957099418,0.812369321131777,4.15149581030635e-76,0.355848388975822," "
0.732789479382268,7.76785408667465e-11,0.481314391617205,8.16091574876843e-84,0.732789479382268," "
0.110159061168584,5.99053061931696e-16,0.110159061168584,3.40826972867686e-73,0.0456833282404139," "
0.900236404823137,3.89959615731519e-19,0.900236404823137,3.14391373907594e-72,0.579022230913049," "
0.602222081141013,2.32825336706702e-34,0.577496817372687,3.51131668702324e-79,0.602222081141013," "
0.671030274454774,6.95673449832172e-47,0.671030274454774,7.95522333669654e-72,0.595393512976255," "
0.101881574072877,4.16979851882584e-75,0.101881574072877,7.31891968699192e-69,0.0547398987093291," "
0.88448219051046,1.12527953921308e-88,0.139418452952291,9.98394308013795e-62,0.88448219051046," "
0.910232729253396,5.11336429005552e-107,0.113615277716423,1.57084930511247e-56,0.910232729253396," "
0.673732461463866,1.24227350810295e-125,0.641363904222409,1.32253145154292e-50,0.673732461463866," "
0.750153477202537,0,0.750153477202537,1.96728084530115e-11,0.496069989409534," "
0.858251170891274,0.794923388935803,0.858251170891274,4.18760388494412e-110,0.362349892561842," "
0.744589567801159,4.02989489195162e-07,0.744589567801159,7.76383789356842e-87,0.709274445573149," "
0.653650339906221,2.83446579184638e-06,0.653650339906221,8.45624161745469e-93,0.379657229682233," "
0.620630369282604,1.96850838372479e-11,0.620630369282604,2.44853227338631e-92,0.330076470032041," "
0.771525474065282,2.31507082113339e-31,0.771525474065282,7.23183083844907e-91,0.625649818109953," "
0.0358789462763016,6.94440456714815e-42,0.0358789462763016,2.38564123047037e-92,0.0255689011917909,"causal"
0.88713114101779,7.52205330604941e-57,0.15190931446331,1.70974270182371e-85,0.88713114101779," "
0.938802311355399,8.15673710861875e-75,0.938802311355399,1.73305535066284e-80,0.472465025684679," "
0.604998343020371,2.5841536315243e-74,0.604998343020371,2.74357383753086e-64,0.332013222114244," "
0.826649837559561,1.28964496780742e-105,0.826649837559561,2.09936015723149e-73,0.425003820473845," "
0.956481648480805,6.43100915699556e-120,0.956481648480805,1.1559267923924e-65,0.357058950002304," "
0.347197803813068,0,0.347197803813068,3.5422051944927e-13,0.304970297426516," "
0.799570961890094,0.597633474685108,0.497933257763524,6.52616946105522e-127,0.799570961890094," "
0.866809127431464,0.137983421109549,0.213980231053071,1.98773748745796e-106,0.866809127431464," "
0.764399683660212,1.60753985240725e-10,0.433443858468779,7.57242802468007e-107,0.764399683660212," "
0.0539884792721885,3.08987092680236e-16,0.0539884792721885,3.52896780549875e-107,0.042315735200274," "
0.85368834860768,2.32616334855617e-25,0.390056203256661,9.48994315168443e-101,0.85368834860768," "
0.733867841019173,7.95974250927702e-51,0.455065355358386,3.15363808226596e-104,0.733867841019173," "
0.950731185549779,5.8207455942846e-41,0.950731185549779,2.36545818186479e-109,0.556445531212243," "
0.47506396057221,4.0731700358003e-65,0.47506396057221,1.73179307864093e-91,0.196898511567266," "
0.963079465848752,6.40703304390158e-91,0.963079465848752,2.0008713529873e-74,0.484771048559806," "
0.0648051945180275,7.34356728961917e-97,0.0648051945180275,5.88126449977331e-75,0.0166926038422391," "
0.00665564792842165,1.61632083086177e-123,0.00365009733645921,1.10823485293185e-56,0.00665564792842165,"causal"
0.438235601338265,0,0.438235601338265,2.46720723154525e-18,0.32082151923457," "
0.456887297625146,0.208660390469783,0.456887297625146,0,0.13696691543773," "
0.691794198846037,0.0727889277961034,0.691794198846037,0,0.559511933645624," "
0.724619277225613,3.54097138867512e-07,0.493772430307106,0,0.724619277225613," "
0.0568590444246317,1.3202745968348e-13,0.0568590444246317,0,0.0118131771549184," "
0.47457601253716,4.53234147072815e-35,0.47457601253716,0,0.329144298220573," "
0.918314744414795,4.40026037574582e-37,0.918314744414795,0,0.492430171970836," "
0.682102084911624,6.64125699836007e-52,0.682102084911624,0,0.279209050451357," "
0.522331355020077,3.20120864372861e-62,0.522331355020077,0,0.237949953577443," "
0.352377836210689,2.96861272549496e-83,0.352377836210689,0,0.172582873977827," "
0.353386408127422,6.92657147671072e-106,0.353386408127422,0,0.177108103566972," "
0.978041032241236,4.74671796653468e-116,0.0747913885608155,0,0.978041032241236," "
0.899844441230758,0,0.214155748230037,6.59572292935595e-146,0.899844441230758," "
